OSEBuildingID,DataYear,BuildingName,BuildingType,TaxParcelIdentificationNumber,Address,City,State,ZipCode,Latitude,Longitude,Neighborhood,CouncilDistrictCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),EPAPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Electricity(kWh),SteamUse(kBtu),NaturalGas(therms),ComplianceStatus,ComplianceIssue,Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
22163,2021,THE CHAPMAN BLDG,NonResidential,2738100380,5811 6TH AVE S,SEATTLE,WA,98108,47.55045,-122.32749,GREATER DUWAMISH,1,1967,1,1,25500,25500,0,,90.59999847,90.59999847,2311520,2311520,253.8000031,253.8000031,Retail Store,Retail Store,25500,NA,,NA,,677468,0,0,Not Compliant,Account Requires Verification,2311520,0,9.6,0.4
22165,2021,MICHIGAN STREET BUILDINGS,NonResidential,2738100500,790 S MICHIGAN ST,SEATTLE,WA,98108,47.5478,-122.32307,GREATER DUWAMISH,2,1961,1,1,41895,41895,0,65,24.39999962,24.79999924,995491,980396,53,53.40000153,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,37524,Office,2596,NA,,184022,0,3676,Compliant,No Issue,627883,367608,22.1,0.5
22166,2021,GEORGETOWN CENTER - BLDG A,NonResidential,2738100610,5959 CORSON AVE S,SEATTLE,WA,98108,47.54912,-122.32184,GREATER DUWAMISH,2,1958,2,2,56193,56193,0,93,31.20000076,31.5,1767359,1752362,68.69999695,69,Retail Store,Retail Store,56193,NA,,NA,,338397,0,6127,Compliant,No Issue,1154611,612748,37.3,0.7
22170,2021,GILMORE APTS,Multifamily MR (5-9),2764700000,1526 3RD AVE,SEATTLE,WA,98101,47.61066,-122.33815,DOWNTOWN,7,2002,6,1,66459,66459,0,98,27.70000076,27.79999924,1611372,1603527,63.79999924,64.30000305,Multifamily MR (5-9),Multifamily Housing,48409,Retail Store,9568,NA,,340904,0,4482,Compliant,No Issue,1163163,448209,28.6,0.4
22194,2021,32 UNIT APT,Multifamily LR (1-4),2767600820,1433 NW 64TH ST,SEATTLE,WA,98107,47.67504,-122.37529,BALLARD,6,1986,4,1,44957,35346,9611,84,30.10000038,30.39999962,913819,904032,84.30000305,85.19999695,Multifamily LR (1-4),Multifamily Housing,30044,Parking,6000,NA,,267825,0,0,Compliant,No Issue,913819,0,3.8,0.1
22210,2021,32 UNIT APT,Multifamily LR (1-4),2767704620,1425 NW 61ST ST,SEATTLE,WA,98107,47.67284,-122.37513,BALLARD,6,1991,4,1,42401,32753,9648,,31.70000076,32,1049644,1037356,88.69999695,89.69999695,Multifamily LR (1-4),Multifamily Housing,32753,Parking,9648,NA,,307633,0,0,Compliant,No Issue,1049643,0,4.3,0.1
22223,2021,ST. ALPHONSUS SCHOOL,NonResidential,2767900390,5800 15TH AVE NW,SEATTLE,WA,98107,47.6712,-122.37568,BALLARD,6,1922,3,1,35448,35448,0,77,45,46,1628932,1594825,59.70000076,60.70000076,K-12 School,K-12 School,35448,NA,,NA,,73767,0,13772,Compliant,No Issue,251694,1377238,74.2,2.1
22230,2021,THE BALLARD MARKET,NonResidential,2768100235,1400 NW 56TH ST,SEATTLE,WA,98107,47.66986,-122.37418,BALLARD,1,1966,1,1,29214,29214,0,18,320.3999939,320.2999878,9357557,9358892,630.4000244,632.4000244,Supermarket/Grocery Store,Supermarket/Grocery Store,29214,NA,,NA,,1448765,0,44144,Compliant,No Issue,4943186,4414369,254.9,8.7
22238,2021,MARKET TERRACE APTS 30 UNITS,Multifamily LR (1-4),2768300150,1115 NW MARKET ST,SEATTLE,WA,98107,47.66839,-122.37155,BALLARD,6,1980,3,1,31792,21176,10616,80,32.90000153,33.09999847,701315,697412,92.19999695,92.69999695,Multifamily LR (1-4),Multifamily Housing,21176,Parking,10616,NA,,205544,0,0,Compliant,No Issue,701315,0,2.9,0.1
22239,2021,GILMAN COURT APARTMENTS,Multifamily LR (1-4),2768300180,1116 NW 54TH ST,SEATTLE,WA,98107,47.6681,-122.3716,BALLARD,6,1996,4,1,30854,19789,11065,70,33.40000153,33.59999847,1036387,1029543,93.40000153,94.09999847,Multifamily LR (1-4),Multifamily Housing,25288,Parking,11065,Office,5566,303748,0,0,Compliant,No Issue,1036387,0,4.3,0.2
22240,2021,SAFEWAY STORE # 1477,NonResidential,2768300240,1423 NW MARKET ST,SEATTLE,WA,98107,47.66828,-122.37428,BALLARD,1,2000,1,1,89103,46068,43035,46,294.7999878,293.7999878,13816796,13867977,560.7999878,560.2000122,Supermarket/Grocery Store,Supermarket/Grocery Store,47034,Parking,0,NA,,1983293,0,70498,Compliant,No Issue,6766996,7049800,402.4,8.7
22252,2021,N F CORPORATION-1415 NW 52ND,NonResidential,2768300955,1415 NW 52ND ST,SEATTLE,WA,98107,47.66621,-122.37502,BALLARD,1,1961,1,1,36700,36700,0,,53.79999924,55.20000076,2030927,1978699,76,77.40000153,Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym,32076,Non-Refrigerated Warehouse,4700,NA,,119601,0,16228,Compliant,No Issue,408079,1622848,87.9,2.4
22259,2021,RUDD COMPANY,NonResidential,2768301991,1148 NW LEARY WAY,SEATTLE,WA,98107,47.66389,-122.37307,BALLARD,6,1910,2,1,31140,31140,0,,33.79999924,34.59999847,1077452,1052040,51.5,52.40000153,Mixed Use Property,Other,14840,Retail Store,9400,Non-Refrigerated Warehouse,6900,83573,0,7923,Compliant,No Issue,285150,792302,43.3,1.4
22261,2021,RUDD COMPANY,NonResidential,2768301991,1141 NW 50TH ST,SEATTLE,WA,98107,47.6644,-122.37246,BALLARD,6,1975,3,1,41478,41478,0,2,108.6999969,108.3000031,4491605,4509698,180.6000061,180.1999969,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,31932,Office,9546,NA,,461752,0,29161,Compliant,No Issue,1575498,2916107,161.4,3.9
22264,2021,RUDD COMPANY,NonResidential,2768302361,1118 NW LEARY WAY,SEATTLE,WA,98107,47.66411,-122.37185,BALLARD,6,1980,1,1,39840,39840,0,3,21.5,21.60000038,859760,855113,60.09999847,60.40000153,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,39840,NA,,NA,,251981,0,0,Compliant,No Issue,859760,0,3.6,0.1
22267,2021,LAUREN MAY APARTMENTS,Multifamily LR (1-4),2767604205,5814 22ND AVE NW,SEATTLE,WA,98107,47.67151,-122.38454,BALLARD,6,1928,4,1,24828,24828,0,50,80.69999695,79.80000305,1981291,2002932,98.80000305,97.90000153,Multifamily LR (1-4),Multifamily Housing,24828,NA,,NA,,58709,0,17810,Compliant,No Issue,200315,1780976,95.4,3.8
22279,2021,KRISTINE APTS,Multifamily LR (1-4),2767604310,5800 22ND AVE NW,SEATTLE,WA,98107,47.67117,-122.38422,BALLARD,1,1987,4,1,43380,32776,10604,87,26.20000076,26.5,739636,730951,73.5,74.30000305,Multifamily LR (1-4),Multifamily Housing,27860,NA,,NA,,216775,0,0,Compliant,No Issue,739636,0,3.1,0.1
22282,2021,SCHWABACHER HOUSE,Multifamily LR (1-4),2767604370,1715 NW 59TH ST,SEATTLE,WA,98107,47.67136,-122.37982,BALLARD,6,1984,4,1,36248,36248,0,80,27.10000038,27.29999924,989221,981071,75.80000305,76.40000153,Multifamily LR (1-4),Multifamily Housing,36248,NA,,NA,,289924,0,0,Compliant,No Issue,989221,0,4.1,0.1
22290,2021,SUNRISE MANOR,Multifamily LR (1-4),2767604660,1530 NW 57TH ST,SEATTLE,WA,98107,47.67042,-122.37749,BALLARD,6,1985,4,1,26347,26347,0,47,34.59999847,34.79999924,916255,911912,96.90000153,97.40000153,Multifamily LR (1-4),Multifamily Housing,26347,NA,,NA,,268539,0,0,Compliant,No Issue,916255,0,3.8,0.1
22294,2021,Etta Ballard Apartment aka SAGE APARTMENTS,Multifamily MR (5-9),2767604780,1710 NW 57TH ST,SEATTLE,WA,98107,47.67043,-122.37975,BALLARD,1,1989,5,1,53041,53041,0,97,59.09999847,59.40000153,1823372,1816230,104,104.1999969,Multifamily MR (5-9),Multifamily Housing,30720,Parking,4212,NA,,215658,0,10875,Compliant,No Issue,735826,1087545,60.8,1.1
22299,2021,BALLARD ON THE PARK APARTMENTS,Multifamily MR (5-9),2767604965,2233 NW 58TH ST,SEATTLE,WA,98107,47.67077,-122.38628,BALLARD,1,2009,8,1,447755,326475,121280,97,33.29999924,33.59999847,10959273,10877146,74.40000153,75.09999847,Multifamily MR (5-9),Multifamily Housing,270691,Parking,121280,Retail Store,43576,2176655,0,35325,Compliant,No Issue,7426747,3532526,218.3,0.7
22308,2021,BALLARD HOUSE,Multifamily MR (5-9),2767700100,2445 NW 57TH ST,SEATTLE,WA,98107,47.66967,-122.38966,BALLARD,6,1969,7,1,52926,52926,0,18,61.29999924,60.79999924,3216644,3243748,157.6999969,156.3000031,Multifamily MR (5-9),Multifamily Housing,52926,NA,,NA,,820054,0,4186,Compliant,No Issue,2798024,418621,33.8,0.6
22312,2021,SEATTLE PUBLIC LIBRARY (BALLARD BRANCH),Nonresidential COS,2767700235,5614 22ND AVE NW,SEATTLE,WA,98107,47.66984,-122.3842,BALLARD,6,2004,1,1,30576,15000,15576,,79.5,80.19999695,1451072,1439417,175.6999969,176.3000031,Library,Library,15000,Other - Services,3100,NA,,279348,0,4979,Compliant,No Issue,953137,497935,30.4,2
22314,2021,APARTMENTS,Multifamily MR (5-9),2767700375,1753 NW 57TH ST,SEATTLE,WA,98107,47.66994,-122.38124,BALLARD,6,1999,6,1,46070,33850,12220,97,24.79999924,24.89999962,842183,838490,69.40000153,69.69999695,Multifamily MR (5-9),Multifamily Housing,33850,NA,,NA,,246830,0,0,Compliant,No Issue,842183,0,3.5,0.1
22315,2021,BALLARD 57,Multifamily LR (1-4),2767700395,1731 NW 57TH ST,SEATTLE,WA,98107,47.66992,-122.38033,BALLARD,1,2016,6,1,23349,23349,0,99,32.5,32.70000076,763507,759550,71.80000305,72.30000305,Multifamily LR (1-4),Multifamily Housing,23349,NA,,NA,,148463,0,2570,Compliant,No Issue,506557,256950,15.7,0.7
22323,2021,THE LANDMARK,Multifamily MR (5-9),2767700765,1737 NW 56TH ST,SEATTLE,WA,98107,47.66923,-122.38046,BALLARD,1,1993,6,1,40740,28657,12083,,,,,,,,NA,NA,,NA,,NA,,0,0,0,Not Compliant,Portfolio Manager Account Not Shared,0,0,0,0
22327,2021,BALLARD MASONIC TEMPLE,NonResidential,2767700935,2006 NW MARKET ST,SEATTLE,WA,98107,47.66894,-122.38242,BALLARD,6,1924,2,1,21528,21528,0,,11.30000019,11.39999962,245073,242851,22.10000038,22.20000076,Social/Meeting Hall,Social/Meeting Hall,21528,NA,,NA,,37076,0,1186,Compliant,No Issue,126504,118569,6.8,0.3
22332,2021,BALLARD SQUARE,NonResidential,2767701080,2228 NW MARKET ST,SEATTLE,WA,98107,47.66908,-122.38627,BALLARD,6,1928,2,1,30000,30000,0,,34.20000076,34.70000076,895261,884460,88.40000153,89.30000305,Strip Mall,Strip Mall,25828,Parking,0,NA,,228787,0,1146,Compliant,No Issue,780621,114640,9.3,0.3
22334,2021,LEVA ON MARKET APTS,Multifamily MR (5-9),2767701230,1545 NW MARKET ST,SEATTLE,WA,98107,47.66842,-122.37834,BALLARD,1,2008,8,1,361727,243928,117799,,35.09999847,35.40000153,8320064,8267390,71.69999695,72.5,Multifamily MR (5-9),Multifamily Housing,228299,Parking,117799,Retail Store,6956,1393630,0,35650,Compliant,No Issue,4755066,3565000,209,0.9
22339,2021,511 WEST MERCER PLACE,Multifamily MR (5-9),2569910000,511 W MERCER PL,SEATTLE,WA,98119,47.6249,-122.36459,MAGNOLIA / QUEEN ANNE,7,2003,5,1,28879,28879,0,,37,37.20000076,895408,890179,78.80000305,79,Multifamily MR (5-9),Multifamily Housing,24070,NA,,NA,,160884,0,3465,Compliant,No Issue,548938,346471,20.7,0.7
22340,2021,515 FIRST AVENUE WEST CONDOMINIUM,Multifamily LR (1-4),2569930000,515 1ST AVE W,SEATTLE,WA,98119,47.62374,-122.35829,MAGNOLIA / QUEEN ANNE,1,1997,4,1,20406,20406,0,,29.60000038,29.89999962,609491,603996,61.79999924,62.29999924,Multifamily LR (1-4),Multifamily Housing,20406,NA,,NA,,105706,0,2488,Compliant,No Issue,360671,248820,14.7,0.7
22347,2021,FIX BUILDING THE CONDOMINIUM,Multifamily MR (5-9),2570280000,1507 WESTERN AVE,SEATTLE,WA,98101,47.60846,-122.34167,DOWNTOWN,1,1910,6,1,34909,34909,0,97,19.60000038,19.79999924,691680,682491,54.70000076,55.5,Multifamily MR (5-9),Multifamily Housing,34909,NA,,NA,,202720,0,0,Compliant,No Issue,691680,0,2.9,0.1
22351,2021,FLORENTINE CONDOMINIUM,Multifamily MR (5-9),2585000000,536 1ST AVE S,SEATTLE,WA,98104,47.59731,-122.33369,DOWNTOWN,2,1909,6,1,201656,201656,0,89,22.79999924,23,3851890,3825267,64,64.40000153,Multifamily MR (5-9),Multifamily Housing,152893,Retail Store,14536,NA,,1128924,0,0,Compliant,No Issue,3851889,0,15.9,0.1
22352,2021,FLORERA,Multifamily LR (1-4),2586900000,413 NE 70TH ST,SEATTLE,WA,98115,47.67903,-122.32412,NORTHWEST,6,2007,4,1,82486,82486,0,97,28.60000038,28.5,2096997,2103952,59.79999924,59.70000076,Multifamily LR (1-4),Multifamily Housing,52357,Bank Branch,15157,Parking,11360,365690,0,8493,Compliant,No Issue,1247736,849261,50.3,0.6
22353,2021,PARKWAY HOUSE,Multifamily LR (1-4),2589300006,7401 RAINIER AVE S,SEATTLE,WA,98118,47.53558,-122.27061,SOUTHEAST,2,1959,3,1,45201,45201,0,68,33.5,33.70000076,1524586,1516293,93.90000153,94.40000153,Multifamily LR (1-4),Multifamily Housing,45201,NA,,NA,,446831,0,0,Compliant,No Issue,1524586,0,6.3,0.1
22354,2021,THE FONTANELLE,Multifamily LR (1-4),2589300045,7325 RAINIER AVE S,SEATTLE,WA,98118,47.53628,-122.27074,SOUTHEAST,1,1962,3,1,43330,43330,0,79,27.39999962,27.5,1191278,1186975,76.69999695,77,Multifamily LR (1-4),Multifamily Housing,43330,NA,,NA,,349144,0,0,Compliant,No Issue,1191278,0,4.9,0.1
22356,2021,FORTUNE VIEW CONDOMINIUM,Multifamily LR (1-4),2607790000,1819 E DENNY WAY,SEATTLE,WA,98122,47.6182,-122.30779,SHARED: CENTRAL & EAST,1,1996,3,1,32112,32112,0,81,35.09999847,35.59999847,1141844,1128304,75.90000153,76.59999847,Multifamily LR (1-4),Multifamily Housing,32112,NA,,NA,,211175,0,4213,Compliant,No Issue,720530,421314,25.4,0.8
22361,2021,41ST AVENUE CONDOMINIUM,Multifamily MR (5-9),2607870000,4752 41ST AVE SW,SEATTLE,WA,98116,47.5595,-122.3839,SOUTHWEST,1,2005,5,1,29888,29888,0,72,36.90000153,36.90000153,1101870,1102772,82.80000305,83,Multifamily MR (5-9),Multifamily Housing,29888,NA,,NA,,221776,0,3452,Compliant,No Issue,756701,345169,21.5,0.7
22363,2021,FORTE' CONDOMINIUM,Multifamily LR (1-4),2607980000,840 NE 125TH ST,SEATTLE,WA,98125,47.71965,-122.31877,SHARED: NORTH & NORTHWEST,5,1988,4,1,47647,47647,0,59,31.20000076,31.39999962,1498164,1488558,87.5,88,Multifamily LR (1-4),Multifamily Housing,47647,NA,,NA,,439087,0,0,Compliant,No Issue,1498164,0,6.2,0.1
22371,2021,420 MELROSE CONDOMINIUM,Multifamily HR (10+),2617480000,420 MELROSE AVE E,SEATTLE,WA,98102,47.62272,-122.32742,EAST,1,1992,10,1,31152,31152,0,,,,,,,,NA,NA,,NA,,NA,,0,0,0,Not Compliant,Portfolio Manager Account Not Shared,0,0,0,0
22372,2021,1400 TAYLOR CONDOMINIUM,Multifamily LR (1-4),2617550000,1400 TAYLOR AVE N,SEATTLE,WA,98109,47.63162,-122.34582,MAGNOLIA / QUEEN ANNE,7,1984,3,1,23210,23210,0,,26.89999962,27.20000076,593098,586762,75.40000153,76.19999695,Multifamily LR (1-4),Multifamily Housing,21788,Parking,1422,NA,,173827,0,0,Compliant,No Issue,593098,0,2.5,0.1
22390,2021,FREMONT VISTA CONDOMINIUM,Multifamily LR (1-4),2646600000,3633 FREMONT AVE N,SEATTLE,WA,98103,47.65246,-122.35029,LAKE UNION,6,1979,4,1,27533,27533,0,55,34.5,34.90000153,961847,949649,86.59999847,87.59999847,Multifamily LR (1-4),Multifamily Housing,27533,NA,,NA,,234906,0,1603,Compliant,No Issue,801501,160346,11.8,0.4
22395,2021,LILAC LODGE,Multifamily LR (1-4),2660500400,5033 37TH AVE S,SEATTLE,WA,98118,47.55609,-122.28651,SOUTHEAST,1,1969,3,1,30216,30216,0,54,35.90000153,36.09999847,1090461,1086220,100.6999969,101,Multifamily LR (1-4),Multifamily Housing,30216,NA,,NA,,319596,0,0,Compliant,No Issue,1090461,0,4.5,0.1
22397,2021,FUJISADA CONDOMINIUM,Multifamily MR (5-9),2662650000,510 6TH AVE S,SEATTLE,WA,98104,47.59802,-122.32599,DOWNTOWN,2,1999,8,1,35364,32335,3029,86,46.09999847,47.20000076,1330159,1299439,100.5999985,102.4000015,Multifamily MR (5-9),Multifamily Housing,23125,Parking,7200,Medical Office,5039,249088,0,4803,Compliant,No Issue,849889,480270,29,0.9
22414,2021,RUSSELL PARK APARTMENTS,Multifamily LR (1-4),2767703760,5210 RUSSELL AVE NW,SEATTLE,WA,98107,47.66634,-122.38004,BALLARD,6,1960,4,1,41076,41076,0,94,22.20000076,22.5,921795,912456,62.20000076,62.90000153,Multifamily LR (1-4),Multifamily Housing,41046,NA,,NA,,270163,0,0,Compliant,No Issue,921795,0,3.8,0.1
22418,2021,CENTRAL PARK APTS 30 UNITS,Multifamily LR (1-4),2767703835,1819 NW CENTRAL PL,SEATTLE,WA,98107,47.66662,-122.38034,BALLARD,6,1960,4,1,24948,24948,0,,26.29999924,26.60000038,664508,657339,73.80000305,74.59999847,Multifamily LR (1-4),Multifamily Housing,24948,NA,,NA,,194756,0,0,Compliant,No Issue,664508,0,2.7,0.1
22420,2021,CENTURYLINK: SUNSET CO,NonResidential,2767704040,1138 NW 63RD ST,SEATTLE,WA,98107,47.67482,-122.37316,BALLARD,6,1942,2,1,30087,30087,0,,165.3999939,166,5073201,5052209,463,464.8999939,Other,Other,30554,NA,,NA,,1486870,0,0,Compliant,No Issue,5073200,0,21,0.7
22438,2021,BALLARD 14 LLC BLDG,NonResidential,2768302590,1401 NW LEARY WAY,SEATTLE,WA,98107,47.66327,-122.37439,BALLARD,1,1975,1,1,40445,40445,0,40,47.79999924,47.90000153,1936889,1931933,64.40000153,64.5,Worship Facility,Worship Facility,40445,NA,,NA,,96569,0,16074,Compliant,No Issue,329495,1607394,86.7,2.1
22440,2021,OFFICE MAX,NonResidential,2768302800,1135 NW LEARY WAY,SEATTLE,WA,98107,47.66318,-122.37283,BALLARD,6,1996,1,1,23500,23500,0,44,54.70000076,55,1292209,1285170,142.1999969,142.5,Retail Store,Retail Store,23500,NA,,NA,,333563,0,1541,Compliant,No Issue,1138117,154092,12.9,0.5
22446,2021,SALTY DOG STUDIO,NonResidential,2768303115,4602 14TH AVE NW,SEATTLE,WA,98107,47.66236,-122.37324,BALLARD,6,1903,3,1,24913,24913,0,95,6.199999809,6.199999809,154525,154276,15.30000019,15.39999962,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,24913,NA,,NA,,37018,0,282,Compliant,No Issue,126307,28218,2,0.1
22454,2021,GOODWILL BALLARD,NonResidential,2769601465,6400 8TH AVE NW,SEATTLE,WA,98107,47.67518,-122.36549,SHARED: BALLARD & NORTHWEST,6,1967,1,1,22420,22420,0,81,60,61.29999924,1413682,1383382,109.6999969,111,Retail Store,Retail Store,23067,NA,,NA,,180356,0,7983,Compliant,No Issue,615375,798307,44.9,2
22460,2021,GILMANOR APARTMENTS,Multifamily LR (1-4),2770100000,4051 GILMAN AVE W,SEATTLE,WA,98199,47.65661,-122.38781,MAGNOLIA / QUEEN ANNE,7,1968,4,1,23728,23728,0,89,25.39999962,25.60000038,607463,603623,71.19999695,71.69999695,Multifamily LR (1-4),Multifamily Housing,23728,NA,,NA,,178037,0,0,Compliant,No Issue,607463,0,2.5,0.1
"22470,2021,""TEMPO APTS -2305, -2310, -2300"",Multifamily LR (1-4),2770602300,2015 W DRAVUS ST,SEATTLE,WA,98199,47.64823,-122.38276,MAGNOLIA / QUEEN ANNE,7,2007,4,1,42763,28880,13883,68,36.29999924,36.29999924,1048017,1047991,93.09999847,93,Multifamily LR (1-4),Multifamily Housing,28880,Parking,13883,NA,,265369,0,1426,Compliant,No Issue,905439,142578,11.3,0.4"
22479,2021,QFC MARKET,NonResidential,2770602660,3225 16TH AVE W,SEATTLE,WA,98119,47.64909,-122.37788,MAGNOLIA / QUEEN ANNE,7,1961,1,1,25842,25842,0,67,254,253.1000061,6576650,6600130,515.9000244,514.9000244,Supermarket/Grocery Store,Supermarket/Grocery Store,25987,NA,,NA,,1084533,0,28762,Compliant,No Issue,3700427,2876222,168.1,6.5
22480,2021,OFFICE & SPORTS CLUB,NonResidential,2770602690,3257 16TH AVE W,SEATTLE,WA,98119,47.65018,-122.37787,MAGNOLIA / QUEEN ANNE,7,1992,3,1,26389,26389,0,,26.20000076,26.20000076,691759,691759,73.40000153,73.40000153,Office,Office,16766,Fitness Center/Health Club/Gym,9623,NA,,202743,0,0,Compliant,No Issue,691759,0,2.9,0.1
22482,2021,AXLE,NonResidential,2770603030,3230 16TH AVE W,SEATTLE,WA,98119,47.64978,-122.37713,MAGNOLIA / QUEEN ANNE,1,2017,8,1,250867,184276,66591,98,29.20000076,29.20000076,6392967,6406516,61.70000076,61.59999847,Multifamily Housing,Multifamily Housing,219220,NA,,NA,,1139205,0,25060,Compliant,No Issue,3886967,2506001,149.2,0.8
22486,2021,CANAL BUILDING,NonResidential,2770603315,3600 15TH AVE W,SEATTLE,WA,98119,47.65252,-122.37587,MAGNOLIA / QUEEN ANNE,7,1982,3,1,25859,25859,0,78,34.90000153,35.20000076,910529,901485,81.80000305,82.19999695,Office,Office,25859,Parking,4000,NA,,195743,0,2427,Compliant,No Issue,667874,242655,15.7,0.6
22502,2021,COMMODORE,NonResidential,2771605265,2440 W COMMODORE WAY,SEATTLE,WA,98199,47.66238,-122.38831,MAGNOLIA / QUEEN ANNE,7,1974,1,1,25600,25600,0,1,54.20000076,53.90000153,1379790,1387555,123.9000015,123,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,20600,Office,5000,NA,,284882,0,4078,Compliant,No Issue,972018,407772,25.7,1
22504,2021,MER EQUIPEMENT INC,NonResidential,2771605305,2400 W COMMODORE WAY,SEATTLE,WA,98199,47.66126,-122.38751,MAGNOLIA / QUEEN ANNE,7,1965,1,1,23169,23169,0,,20.29999924,20.29999924,207174,207174,56.90000153,56.90000153,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,10200,NA,,NA,,60719,0,0,Compliant,No Issue,207174,0,0.9,0
22509,2021,SALMON BAY LANDING,NonResidential,2771605313,2320 W COMMODORE WAY,SEATTLE,WA,98199,47.66106,-122.38576,MAGNOLIA / QUEEN ANNE,7,2008,4,1,41784,33385,8399,79,40.59999847,40.59999847,1356722,1356722,113.8000031,113.8000031,Office,Office,33385,Parking,8399,NA,,397632,0,0,Compliant,No Issue,1356722,0,5.6,0.2
22511,2021,W COMMODORE (combined with 22510),NonResidential,2771605365,2500 W COMMODORE WAY,SEATTLE,WA,98199,47.66206,-122.38948,MAGNOLIA / QUEEN ANNE,1,1960,1,2,56884,56884,0,60,29.20000076,29.79999924,1695955,1660742,51.70000076,52.40000153,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,56884,NA,,NA,,200752,0,10110,Compliant,No Issue,684967,1010988,56.5,1
22512,2021,GILMAN'S FAIRWAY CONDOMINIUM,Multifamily MR (5-9),2772500000,2530 15TH AVE W,SEATTLE,WA,98119,47.64154,-122.37565,MAGNOLIA / QUEEN ANNE,7,2000,6,1,34582,34582,0,,61,61.5,1065298,1057632,170.8000031,172.1000061,Multifamily MR (5-9),Multifamily Housing,17334,Parking,13300,NA,,312221,0,0,Compliant,No Issue,1065298,0,4.4,0.1
22517,2021,CROWN POINT APTS,Multifamily LR (1-4),2776600104,8508 MARY AVE NW,SEATTLE,WA,98117,47.69101,-122.37497,BALLARD,6,1988,3,1,23835,15594,8241,93,25.60000038,25.79999924,615275,611016,71.80000305,72.30000305,Multifamily LR (1-4),Multifamily Housing,23835,Parking,8241,NA,,180327,0,0,Compliant,No Issue,615275,0,2.5,0.2
22519,2021,METROPOLITAN MARKET,NonResidential,2776600135,8532 15TH AVE NW,SEATTLE,WA,98117,47.6917,-122.37617,BALLARD,1,1989,1,1,32810,32810,0,,,,,,,,NA,NA,,NA,,NA,,0,0,0,Not Compliant,Portfolio Manager Account Not Shared,0,0,0,0
22521,2021,GARDEN COURT APARTMENTS,Multifamily LR (1-4),2784100055,119 19TH AVE E,SEATTLE,WA,98112,47.61927,-122.30764,SHARED: CENTRAL & EAST,3,1999,3,1,42260,30716,11544,76,27.79999924,27.89999962,858470,852985,77.80000305,78.30000305,Multifamily LR (1-4),Multifamily Housing,30716,Parking,0,NA,,251603,0,0,Compliant,No Issue,858470,0,3.6,0.1
22524,2021,LITTLE FIELD,Multifamily LR (1-4),2784600070,1820 E JOHN ST,SEATTLE,WA,98112,47.61994,-122.30765,SHARED: CENTRAL & EAST,3,1910,3,1,22704,22704,0,38,83.69999695,82.69999695,1878396,1901206,107.9000015,106.8000031,Multifamily LR (1-4),Multifamily Housing,22704,NA,,NA,,75875,0,16195,Compliant,No Issue,258886,1619510,87.1,3.8
22547,2021,MINI-WAREHOUSE,NonResidential,2770603945,2656 15TH AVE W,SEATTLE,WA,98119,47.64455,-122.37581,MAGNOLIA / QUEEN ANNE,1,1980,3,1,30989,30989,0,,,,,,,,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,30989,NA,,NA,,,,,Compliant,No Issue,100810,0,0,0
22548,2021,SELF STORAGE MINI WAREHOUSE,NonResidential,2770603955,2648 15TH AVE W,SEATTLE,WA,98119,47.64418,-122.37587,MAGNOLIA / QUEEN ANNE,1,1915,3,1,39952,39952,0,,,,,,,,Self-Storage Facility,Self-Storage Facility,39950,Parking,0,NA,,,,,Compliant,No Issue,50028,0,0,0
22550,2021,GOLFCREST APARTMENTS,Multifamily LR (1-4),2770604035,2633 14TH AVE W,SEATTLE,WA,98119,47.64408,-122.37511,MAGNOLIA / QUEEN ANNE,1,1963,4,1,28674,28674,0,83,27.20000076,27,775320,779306,69.30000305,69,Multifamily LR (1-4),Multifamily Housing,28674,NA,,NA,,194904,0,1103,Compliant,No Issue,665012,110308,8.6,0.3
22553,2021,FOUNTAIN COURT APTS,Multifamily LR (1-4),2770604120,2516 14TH AVE W,SEATTLE,WA,98119,47.64137,-122.37449,MAGNOLIA / QUEEN ANNE,1,1962,3,1,21240,21240,0,76,26.79999924,27.10000038,575616,568650,75,75.90000153,Multifamily LR (1-4),Multifamily Housing,21240,NA,,NA,,168703,0,0,Compliant,No Issue,575616,0,2.4,0.1
